name,link,orgnr,date,ort,municipality,revenue,employees
TeknikMagasinet Sweden Aktiebolag,https://kreditrapporten.se/kreditupplysning/5563813038/teknikmagasinet-sweden-aktiebolag,5563813038,2020-01-15,Sundbyberg,Stockholms Kommun,859 604 tkr, 292
Goyada Aktiebolag,https://kreditrapporten.se/kreditupplysning/5565233904/goyada-aktiebolag,5565233904,2020-01-31,Stockholm,Stockholms Kommun,830 443 tkr, 23
Nortimo AB,https://kreditrapporten.se/kreditupplysning/5590383518/nortimo-ab,5590383518,2020-01-13,Stockholm,Stockholms Kommun,149 564 tkr, 0
Båge Bygg AB,https://kreditrapporten.se/kreditupplysning/5565402921/bage-bygg-ab,5565402921,2020-01-22,Stockholm,Stockholms Kommun,146 166 tkr, 18
NVA Total Markentreprenad AB,https://kreditrapporten.se/kreditupplysning/5569633422/nva-total-markentreprenad-ab,5569633422,2020-01-16,Saltsjö-Duvnäs,Vallentuna Kommun,69 282 tkr, 3
Christoffer Lindblad Byggentreprenad AB,https://kreditrapporten.se/kreditupplysning/5590732607/christoffer-lindblad-byggentreprenad-ab,5590732607,2020-01-17,Vankiva,Malmö Kommun,64 080 tkr, 15
JS Bygg & Fastigheter AB,https://kreditrapporten.se/kreditupplysning/5567676878/js-bygg-och-fastigheter-ab,5567676878,2020-01-07,Kumla,Örebro Kommun,54 229 tkr, 30
Nordic machinery sales AB,https://kreditrapporten.se/kreditupplysning/5567810659/nordic-machinery-sales-ab,5567810659,2020-01-31,Vetlanda,Sävsjö Kommun,44 965 tkr, 1
T.T. El-tjänst Aktiebolag,https://kreditrapporten.se/kreditupplysning/5562162254/t-t--el-tjanst-aktiebolag,5562162254,2020-01-16,Hägersten,Stockholms Kommun,43 140 tkr, 39
MSL Bygg & VVS AB,https://kreditrapporten.se/kreditupplysning/5569615650/msl-bygg-och-vvs-ab,5569615650,2020-01-15,Hägersten,Stockholms Kommun,42 672 tkr, 10
ScandRail Sweden AB,https://kreditrapporten.se/kreditupplysning/5566728589/scandrail-sweden-ab,5566728589,2020-01-15,Ludvika,Ludvika Kommun,39 122 tkr, 31
Becthel Entreprenad AB,https://kreditrapporten.se/kreditupplysning/5569316259/becthel-entreprenad-ab,5569316259,2020-01-15,Kungens Kurva,Huddinge Kommun,39 010 tkr, 13
Lea No 2 AB,https://kreditrapporten.se/kreditupplysning/5569982225/lea-no-2-ab,5569982225,2020-01-20,Stockholm,Norrköpings Kommun,33 000 tkr, 24
Skånestyckarna AB,https://kreditrapporten.se/kreditupplysning/5590140371/skanestyckarna-ab,5590140371,2020-01-08,Eslöv,Eslövs Kommun,32 092 tkr, 3
Vatten & Värme i Örebro Aktiebolag,https://kreditrapporten.se/kreditupplysning/5560898073/vatten-och-varme-i-orebro-aktiebolag,5560898073,2020-01-09,Stockholm,Örebro Kommun,29 297 tkr, 24
Prebetong i Motala AB,https://kreditrapporten.se/kreditupplysning/5565767455/prebetong-i-motala-ab,5565767455,2020-01-28,Motala,Motala Kommun,26 723 tkr, 20
Byggforum & fastighetsutveckling i Stockholm AB,https://kreditrapporten.se/kreditupplysning/5566790753/byggforum-och-fastighetsutveckling-i-stockholm-ab,5566790753,2020-01-21,Hägersten,Stockholms Kommun,26 354 tkr, 23
GFB i Tvåstad AB,https://kreditrapporten.se/kreditupplysning/5567648539/gfb-i-tvastad-ab,5567648539,2020-01-16,Vänersborg,Vänersborgs Kommun,26 312 tkr, 12
Scandecor Sweden Aktiebolag,https://kreditrapporten.se/kreditupplysning/5561863951/scandecor-sweden-aktiebolag,5561863951,2020-01-20,Uppsala,Uppsala Kommun,26 017 tkr, 13
L o M ccc Åkeri AB,https://kreditrapporten.se/kreditupplysning/5566673462/l-o-m-ccc-akeri-ab,5566673462,2020-01-23,Stockholm,Stockholms Kommun,24 546 tkr, 19
Aspect Properties AB ( publ ),https://kreditrapporten.se/kreditupplysning/5569784258/aspect-properties-ab-(-publ-),5569784258,2020-01-23,Stockholm,Stockholms Kommun,24 388 tkr, 0
Lisana Bygg & Badrum AB,https://kreditrapporten.se/kreditupplysning/5567644744/lisana-bygg-och-badrum-ab,5567644744,2020-01-22,Stockholm,Stockholms Kommun,23 079 tkr, 7
Peter Lindström Elektronik i Boden AB,https://kreditrapporten.se/kreditupplysning/5567418008/peter-lindstrom-elektronik-i-boden-ab,5567418008,2020-01-28,Boden,Bodens Kommun,22 417 tkr, 13
Möbelhantering i Malmö Aktiebolag,https://kreditrapporten.se/kreditupplysning/5564589017/mobelhantering-i-malmo-aktiebolag,5564589017,2020-01-17,Malmö,Malmö Kommun,22 170 tkr, 19
KB Nordisk Köttdistribution AB,https://kreditrapporten.se/kreditupplysning/5591372015/kb-nordisk-kottdistribution-ab,5591372015,2020-01-27,Linköping,Stockholms Kommun,21 534 tkr, 2
MD Betong & Anläggning AB,https://kreditrapporten.se/kreditupplysning/5569713661/md-betong-och-anlaggning-ab,5569713661,2020-01-15,Kalmar,Västerviks Kommun,21 223 tkr, 8
Kokalite Aktiebolag,https://kreditrapporten.se/kreditupplysning/5564470978/kokalite-aktiebolag,5564470978,2020-01-15,Sollentuna,Sollentuna Kommun,20 990 tkr, 36
FECA Bygg AB,https://kreditrapporten.se/kreditupplysning/5569963308/feca-bygg-ab,5569963308,2020-01-22,Perstorp,Lidingö Kommun,20 128 tkr, 31
SMTE Teknik AB,https://kreditrapporten.se/kreditupplysning/5564556529/smte-teknik-ab,5564556529,2020-01-31,Borlänge,Borlänge Kommun,19 528 tkr, 5
IL Handels AB,https://kreditrapporten.se/kreditupplysning/5590539648/il-handels-ab,5590539648,2020-01-02,Stockholm,Östra Göinge Kommun,18 622 tkr, 0
Vortek Group AB,https://kreditrapporten.se/kreditupplysning/5590667886/vortek-group-ab,5590667886,2020-01-21,Tyresö,Stockholms Kommun,18 273 tkr, 2
Investment support Malmö AB,https://kreditrapporten.se/kreditupplysning/5591528160/investment-support-malmo-ab,5591528160,2020-01-07,Helsingborg,Lunds Kommun,17 558 tkr, 5
Nordistic AB,https://kreditrapporten.se/kreditupplysning/5567401194/nordistic-ab,5567401194,2020-01-20,Göteborg,Göteborgs Kommun,16 957 tkr, 4
Meed gross nordic AB,https://kreditrapporten.se/kreditupplysning/5591155964/meed-gross-nordic-ab,5591155964,2020-01-16,Borås,Göteborgs Kommun,16 816 tkr, 2
Dryck STHLM AB,https://kreditrapporten.se/kreditupplysning/5568235518/dryck-sthlm-ab,5568235518,2020-01-15,Stockholm,Stockholms Kommun,16 659 tkr, 6
Mycar Stockholm AB,https://kreditrapporten.se/kreditupplysning/5568970221/mycar-stockholm-ab,5568970221,2020-01-17,Täby,Täby Kommun,16 186 tkr, 12
EcoSued AB,https://kreditrapporten.se/kreditupplysning/5567863880/ecosued-ab,5567863880,2020-01-15,Kungens Kurva,Stockholms Kommun,16 111 tkr, 25
Stockholm byggutveckling AB,https://kreditrapporten.se/kreditupplysning/5565745626/stockholm-byggutveckling-ab,5565745626,2020-01-21,Stockholm,Solna Kommun,15 889 tkr, 16
J.V Byggställningar AB,https://kreditrapporten.se/kreditupplysning/5590308754/j-v-byggstallningar-ab,5590308754,2020-01-15,Stockholm,Stockholms Kommun,14 987 tkr, 28
Apelryds Bygg AB,https://kreditrapporten.se/kreditupplysning/5569445744/apelryds-bygg-ab,5569445744,2020-01-17,Uddevalla,Uddevalla Kommun,14 809 tkr, 11
F.L. El AB,https://kreditrapporten.se/kreditupplysning/5590321096/f-l--el-ab,5590321096,2020-01-14,Sollentuna,Sollentuna Kommun,14 473 tkr, 11
Betongfabriken i Stockholm AB,https://kreditrapporten.se/kreditupplysning/5569427825/betongfabriken-i-stockholm-ab,5569427825,2020-01-09,Glumslöv,Landskrona Kommun,14 294 tkr, 2
Stockholm Solid Montage Byggnadsställningar AB,https://kreditrapporten.se/kreditupplysning/5590159140/stockholm-solid-montage-byggnadsstallningar-ab,5590159140,2020-01-02,Sollentuna,Sollentuna Kommun,13 956 tkr, 30
