,name,link,orgnr,info1,info2,info3
0,TeknikMagasinet Sweden Aktiebolag,https://kreditrapporten.se/kreditupplysning/5563813038/teknikmagasinet-sweden-aktiebolag,5563813038,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Sundbyberg"">Sundbyberg</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  859 604 tkr - 292 anställda</div>"
1,Goyada Aktiebolag,https://kreditrapporten.se/kreditupplysning/5565233904/goyada-aktiebolag,5565233904,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-31 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  830 443 tkr - 23 anställda</div>"
2,Nortimo AB,https://kreditrapporten.se/kreditupplysning/5590383518/nortimo-ab,5590383518,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-13 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  149 564 tkr - 0 anställda</div>"
3,Båge Bygg AB,https://kreditrapporten.se/kreditupplysning/5565402921/bage-bygg-ab,5565402921,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-22 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  146 166 tkr - 18 anställda</div>"
4,NVA Total Markentreprenad AB,https://kreditrapporten.se/kreditupplysning/5569633422/nva-total-markentreprenad-ab,5569633422,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-16 - <span title=""Företaget har postadress i Saltsjö-Duvnäs"">Saltsjö-Duvnäs</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Vallentuna Kommun"">Vallentuna Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  69 282 tkr - 3 anställda</div>"
5,Christoffer Lindblad Byggentreprenad AB,https://kreditrapporten.se/kreditupplysning/5590732607/christoffer-lindblad-byggentreprenad-ab,5590732607,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - <span title=""Företaget har postadress i Vankiva"">Vankiva</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Malmö Kommun"">Malmö Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  64 080 tkr - 15 anställda</div>"
6,JS Bygg & Fastigheter AB,https://kreditrapporten.se/kreditupplysning/5567676878/js-bygg-och-fastigheter-ab,5567676878,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-07 - <span title=""Företaget har postadress i Kumla"">Kumla</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Örebro Kommun"">Örebro Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  54 229 tkr - 30 anställda</div>"
7,Nordic machinery sales AB,https://kreditrapporten.se/kreditupplysning/5567810659/nordic-machinery-sales-ab,5567810659,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-31 - <span title=""Företaget har postadress i Vetlanda"">Vetlanda</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Sävsjö Kommun"">Sävsjö Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  44 965 tkr - 1 anställda</div>"
8,T.T. El-tjänst Aktiebolag,https://kreditrapporten.se/kreditupplysning/5562162254/t-t--el-tjanst-aktiebolag,5562162254,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-16 - <span title=""Företaget har postadress i Hägersten"">Hägersten</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  43 140 tkr - 39 anställda</div>"
9,MSL Bygg & VVS AB,https://kreditrapporten.se/kreditupplysning/5569615650/msl-bygg-och-vvs-ab,5569615650,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Hägersten"">Hägersten</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  42 672 tkr - 10 anställda</div>"
10,ScandRail Sweden AB,https://kreditrapporten.se/kreditupplysning/5566728589/scandrail-sweden-ab,5566728589,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Ludvika"">Ludvika</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Ludvika Kommun"">Ludvika Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  39 122 tkr - 31 anställda</div>"
11,Becthel Entreprenad AB,https://kreditrapporten.se/kreditupplysning/5569316259/becthel-entreprenad-ab,5569316259,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Kungens Kurva"">Kungens Kurva</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Huddinge Kommun"">Huddinge Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  39 010 tkr - 13 anställda</div>"
12,Lea No 2 AB,https://kreditrapporten.se/kreditupplysning/5569982225/lea-no-2-ab,5569982225,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-20 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Norrköpings Kommun"">Norrköpings Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  33 000 tkr - 24 anställda</div>"
13,Skånestyckarna AB,https://kreditrapporten.se/kreditupplysning/5590140371/skanestyckarna-ab,5590140371,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-08 - <span title=""Företaget har postadress i Eslöv"">Eslöv</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Eslövs Kommun"">Eslövs Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  32 092 tkr - 3 anställda</div>"
14,Vatten & Värme i Örebro Aktiebolag,https://kreditrapporten.se/kreditupplysning/5560898073/vatten-och-varme-i-orebro-aktiebolag,5560898073,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-09 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Örebro Kommun"">Örebro Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  29 297 tkr - 24 anställda</div>"
15,Prebetong i Motala AB,https://kreditrapporten.se/kreditupplysning/5565767455/prebetong-i-motala-ab,5565767455,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-28 - <span title=""Företaget har postadress i Motala"">Motala</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Motala Kommun"">Motala Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  26 723 tkr - 20 anställda</div>"
16,Byggforum & fastighetsutveckling i Stockholm AB,https://kreditrapporten.se/kreditupplysning/5566790753/byggforum-och-fastighetsutveckling-i-stockholm-ab,5566790753,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-21 - <span title=""Företaget har postadress i Hägersten"">Hägersten</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  26 354 tkr - 23 anställda</div>"
